,domain,X username,country
418,crooksandliars.com,crooksandliars,US
419,sandiegouniontribune.com,sdut,US
420,miamiherald.com,miamiherald,US
421,infowars.com,infowars,US
422,infowars.com,prisonplanettv,US
423,infowars.com,infowarsinsider,US
424,deseretnews.com,deseretnews,US
425,fortune.com,fortunemagazine,US
426,tulsaworld.com,baledger,US
427,newsday.com,newsday,US
428,heraldextra.com,heraldextra,US
429,twitchy.com,twitchyteam,US
430,boston.com,bostonangela,US
431,stltoday.com,stltoday,US
432,cbc.ca,CBC,US
433,qz.com,qz,US
434,desmoinesregister.com,heraldindex,US
435,sltrib.com,sltrib,US
436,ozy.com,ozy,US
437,mlive.com,annarbornews,US
438,stgeorgeutah.com,stgnews,US
439,politifact.com,politifact,US
440,politifact.com,punditfact,US
441,syracuse.com,syracusedotcom,US
442,hbr.org,harvardbiz,US
443,denverpost.com,denverpost,US
444,adweek.com,Adweek,US
445,journal-news.net,thejournalwv,US
446,sfchronicle.com,sfchronicle,US
447,salisburypost.com,salisburypost,US
448,pilotonline.com,insidebusiness,US
449,star-telegram.com,startelegram,US
450,heraldsun.com,theherald_sun,US
451,ibtimes.com,ibtimes,US
452,ijr.com,theijr,US
453,gallup.com,gallupnews,US
454,suntimes.com,suntimes,US
455,wtop.com,WTOP,US
456,outbrain.com,Outbrain,US
457,richmond.com,rtdnews,US
458,mercurynews.com,mercnews,US
459,tampabay.com,tb_times,US
460,theconversation.com,conversationus,US
461,trib.com,cstribune,US
462,baltimoresun.com,baltimoresun,US
463,mediaite.com,mediaite,US
464,orlandosentinel.com,orlandosentinel,US
465,tribdem.com,tribunedemocrat,US
466,theadvocate.com,2theadvocate,US
467,pewresearch.org,pewresearch,US
468,pewresearch.org,pewglobal,US
469,pewresearch.org,pewhispanic,US
470,starnewsonline.com,starnewsonline,US
471,fredericknewspost.com,frednewspost,US
472,indianexpress.com,IndianExpress,US
473,scientificamerican.com,sciam,US
474,thefederalist.com,fdrlst,US
475,france24.com,France24_en,US
476,aljazeera.com,aljazeera.com,US
477,bnd.com,bellevillenewsd,US
478,seattlepi.com,seattlepi,US
479,greensboro.com,newsandrecord,US
480,freebeacon.com,freebeacon,US
481,cincinnati.com,enquirer,US
482,thehour.com,thehournews,US
483,theintercept.com,theintercept,US
484,nola.com,nolanews,US
485,democratandchronicle.com,dandc,US
486,c-span.org,cspan,US
487,c-span.org,cspanwj,US
488,news.com.au,newscomauHQ,US
489,elpais.com,elpaisinenglish,US
490,blueridgenow.com,blueridgenow,US
491,theepochtimes.com,epochtimes,US
492,centralmaine.com,kj_online,US
493,fayobserver.com,fayobserver,US
494,mailtribune.com,mailtribune,US
495,mic.com,mic,US
496,mic.com,navigatingtrump,US
497,mic.com,world_mic,US
498,mic.com,themovement,US
499,gazette.com,csgazette,US
500,reflector.com,reflectornews,US
501,watertowndailytimes.com,wdtnews,US
502,abc7.com,ABC7,US
503,nwitimes.com,nwi,US
504,truthdig.com,truthdig,US
505,jdnews.com,jdnews,US
506,cbn.com,CBNOnline,US
507,arkansasonline.com,arkansasonline,US
508,petoskeynews.com,chxcourier,US
509,newrepublic.com,newrepublic,US
510,factcheck.org,factcheckdotorg,US
511,theindependent.com,theindependent,US
512,haaretz.com,haaretzcom,US
513,indystar.com,indystar,US
514,floridatoday.com,florida_today,US
515,journalnow.com,journalnow,US
516,northjersey.com,northjersey,US
517,dispatch.com,dispatchalerts,US
518,qctimes.com,bettendorfnews,US
519,myrtlebeachonline.com,TheSunNews,US
520,knoxnews.com,knoxnews,US
521,tennessean.com,actimesnews,US
522,thewashingtondailynews.com,wdnweb,US
523,propublica.org,propublica,US
524,newsone.com,newsone,US
525,ft.com,FT,US
526,newbernsj.com,nbsunjournal,US
527,courier-journal.com,courierjournal,US
528,timesunion.com,timesunion,US
529,sacbee.com,sacbee_news,US
530,univision.com,uninoticias,US
531,univision.com,univisionnews,US
532,univision.com,uniplaneta,US
533,univision.com,unipolitica,US
534,univision.com,alpunto,US
535,post-gazette.com,pittsburghpg,US
536,wacotrib.com,wacotrib,US
537,redstate.com,redstate,US
538,advocate.com,TheAdvocateMag,US
539,kenoshanews.com,kenosha_news,US
540,campusreform.org,campusreform,US
541,beforeitsnews.com,beforeitsnews,US
542,dailytarheel.com,dailytarheel,US
543,hotair.com,hotairblog,US
544,commondreams.org,commondreams,US
545,thebrunswicknews.com,brunswick_news,US
546,pressdemocrat.com,northbaynews,US
547,commercialappeal.com,memphisnews,US
548,cleveland.com,clevelanddotcom,US
549,phys.org,physorg_com,US
550,delawareonline.com,delawareonline,US
551,app.com,asburyparkpress,US
552,thestreet.com,TheStreet,US
553,dailysignal.com,dailysignal,US
555,thegazette.com,gazettedotcom,US
556,good.is,good,US
557,reviewjournal.com,reviewjournal,US
558,qconline.com,dispatch_argus,US
559,silive.com,siadvance,US
560,jsonline.com,journalsentinel,US
561,nwherald.com,nwherald,US
562,ocregister.com,ocregister,US
563,chroniclingamerica.loc.gov,librarycongress,US
564,winonadailynews.com,winonadailynews,US
565,courant.com,hartfordcourant,US
566,livemint.com,livemint,US
567,thinkprogress.org,thinkprogress,US
568,thinkprogress.org,climateprogress,US
569,prnewswire.com,PRNewswire,US
570,bostonherald.com,bostonherald,US
571,bizpacreview.com,bizpacreview,US
572,madison.com,madisondotcom,US
573,abc.net.au,ABCaustralia,US
574,observer.com,observer,US
575,observer.com,innovation,US
576,clevelandbanner.com,clevelandbanner,US
577,miaminewtimes.com,miaminewtimes,US
578,rare.us,rare,US
579,masslive.com,masslivenews,US
580,foreignpolicy.com,foreignpolicy,US
581,mcdonoughvoice.com,mcdonoughvoice,US
582,galesburg.com,galesburg,US
583,nhregister.com,nhregister,US
584,sputniknews.com,sputnikint,US
585,fresnobee.com,clovisindypaper,US
586,nationalinterest.org,thenatlinterest,US
587,effinghamdailynews.com,ednsports,US
588,buffalonews.com,thebuffalonews,US
589,americanthinker.com,americanthinker,US
590,lawfareblog.com,lawfareblog,US
591,metafilter.com,metafilter,US
592,helenair.com,helenaironline,US
593,pressherald.com,pressherald,US
594,newsbusters.org,newsbusters,US
595,talkingpointsmemo.com,tpm,US
596,herald-dispatch.com,heralddispatch,US
597,mysanantonio.com,mysa,US
598,rollcall.com,rollcall,US
599,rollcall.com,rollcallpols,US
600,rollcall.com,cqnow,US
601,mycentraljersey.com,mycentraljersey,US
602,lohud.com,lohud,US
603,bangordailynews.com,bangordailynews,US
604,siouxcityjournal.com,scj,US
605,idahostatesman.com,idahostatesman,US
606,theresurgent.com,resurgent,US
607,battlecreekenquirer.com,bcenquirer,US
608,dailyinterlake.com,dailyinterlake,US
609,timesnews.net,timesnewsonline,US
610,globegazette.com,globegazette,US
611,wataugademocrat.com,mountain_times,US
612,orlandoweekly.com,orlandoweekly,US
613,thestranger.com,thestranger,US
614,atlantablackstar.com,atlblackstar,US
615,sfexaminer.com,sfexaminer,US
616,worldpoliticsreview.com,wpreview,US
617,goerie.com,goerie,US
618,triblive.com,triblive,US
619,investors.com,ibdeditorials,US
620,voanews.com,voanews,US
621,clarionledger.com,clarionledger,US
622,nationalpost.com,nationalpost,US
623,lmtonline.com,lmtnews,US
624,pratttribune.com,pratttribune,US
625,cnsnews.com,cnsnews,US
626,poll.qu.edu,quinnipiacpoll,US
627,greenvilleonline.com,greenvillenews,US
628,csmonitor.com,csmonitor,US
629,northcountrynow.com,northcountrynow,US
630,stamfordadvocate.com,stamadvocate,US
631,readingeagle.com,readingeagle,US
632,ydr.com,ydrcom,US
633,aikenstandard.com,aikenstandard,US
634,news-leader.com,springfieldnl,US
635,thepoliticalinsider.com,tpinsidr,US
636,militarytimes.com,MilitaryTimes,US
637,news-press.com,thenewspress,US
638,grandforksherald.com,gfherald,US
640,pantagraph.com,pantagraph,US
641,politicususa.com,politicususa,US
642,daily-chronicle.com,daily_chronicle,US
643,lifezette.com,lifezette,US
645,courierpress.com,courierpress,US
646,irishtimes.com,IrishTimes,US
647,dailylocal.com,wcdailylocal,US
648,bipartisanreport.com,bipartisanism,US
649,ibtimes.co.uk,IBTimesUK,US
650,kearneyhub.com,kearneyhub,US
651,roanoke.com,roanoketimes,US
652,splcenter.org,splcenter,US
653,splcenter.org,hatewatch,US
654,westword.com,denverwestword,US
655,spiritofjefferson.com,spiritofjeff,US
656,messengernews.net,messenger_news,US
657,thetimes.co.uk,thetimes,US
658,japantimes.co.jp,japantimes,US
659,goodnewsnetwork.org,goodnewsnetwork,US
660,morningconsult.com,morningconsult,US
661,daytondailynews.com,daytondailynews,US
662,herald-review.com,heraldandreview,US
663,thestar.com,TorontoStar,US
664,justsecurity.org,just_security,US
665,dailyitem.com,dailyitem,US
666,texastribune.org,texastribune,US
667,wickedlocal.com,WickedLocal,US
668,jacobinmag.com,jacobinmag,US
669,gulfnews.com,gulf_news,US
670,pe.com,pecom_news,US
671,dallasobserver.com,dallas_observer,US
672,hindustantimes.com,HindustanTimes,US
673,wiltonbulletin.com,wiltonbulletin,US
674,shelbynews.com,shelbyvillenews,US
675,metrotimes.com,metrotimes,US
676,thestate.com,thestate,US
677,dailyherald.com,dailyherald,US
678,whidbeynewstimes.com,whidbeynews,US
679,bcrnews.com,bcrnews,US
680,citizensvoice.com,citizensvoice,US
681,kentucky.com,heraldleader,US
682,smartbrief.com,smartbrief,US
683,somerset-kentucky.com,cjsomerset,US
684,fairmontsentinel.com,thesentinelmn,US
685,hcnews.com,hoodcountynews,US
686,elpasotimes.com,elpasotimes,US
687,greenwichtime.com,greenwichtime,US
688,phoenixnewtimes.com,phoenixnewtimes,US
689,taskandpurpose.com,taskandpurpose,US
690,standardspeaker.com,standardspeaker,US
691,pressconnects.com,pressconnects,US
692,lacrossetribune.com,houconews,US
693,newsok.com,newsok,US
694,staradvertiser.com,staradvertiser,US
695,mysuburbanlife.com,mysuburbanlife,US
696,elkharttruth.com,elkharttruth,US
697,thetimes-tribune.com,timestribune,US
698,abs-cbn.com,ABSCBNpr,US
699,spokesman.com,spokesmanreview,US
700,onwardstate.com,onwardstate,US
701,cookpolitical.com,cookpolitical,US
702,wn.com,worldnewsdotcom,US
703,universalhub.com,universalhub,US
704,ctvnews.ca,CTVNews,US
705,theadvertiser.com,theadvertiser,US
706,citybeat.com,citybeatcincy,US
707,riverfronttimes.com,riverfronttimes,US
708,mcclatchydc.com,mcclatchydc,US
709,smh.com.au,smh,US
710,palmbeachpost.com,pbpost,US
711,goupstate.com,goupstate,US
712,macon.com,telegraphga,US
713,portlandmercury.com,portlandmercury,US
714,lbpost.com,longbeachpost,US
715,blacknews.com,blacknews,US
716,heraldcourier.com,heraldcourier,US
717,theherald-news.com,joliet_hn,US
718,poststar.com,poststar,US
719,dailypress.com,daily_press,US
720,courierpostonline.com,cpsj,US
721,tuscaloosanews.com,tuscaloosanews,US
722,thehindu.com,the_hindu,US
723,blavity.com,blavity,US
724,recordonline.com,recordonline,US
725,napavalleyregister.com,amcaneagle,US
726,hickoryrecord.com,hickoryrecord,US
727,isthmus.com,isthmus,US
728,jacksonville.com,jaxdotcom,US
729,thetelegraph.com,altontelegraph,US
730,chronicleonline.com,citruschronicle,US
731,smokymountainnews.com,smokymtnnews,US
732,ctpost.com,connpost,US
733,jconline.com,jconline,US
734,rrstar.com,rrstar,US
735,joplinglobe.com,joplinglobe,US
736,tnonline.com,times_news,US
